"Pregunta","Opción Correcta","Opción Incorrecta 1","Opción Incorrecta 2","Opción Incorrecta 3","Contexto"
"Es un componente que permite crear y gestionar actividades en segundo plano que reaccionan ante eventos globales, como cambios de estado del sistema o eventos enviados por otras aplicaciones.","Broadcast Receiver","Service","Activity","Content Provider","El 'Broadcast Receiver' es un componente de Android que se encarga de recibir y manejar eventos o mensajes globales que pueden ser enviados por el sistema o por otras aplicaciones."
"Es un tipo de menú en Android que se crea y muestra a través de la tecla de menú en el dispositivo, exponiendo opciones generales de la aplicación al usuario.","OptionsMenu","ContextMenu","PopupMenu","NavigationMenu","El 'OptionsMenu' es un menú en Android que se invoca al presionar la tecla de menú del dispositivo, mostrando opciones generales de la aplicación."
"Es un componente en Android utilizado para gestionar una interfaz gráfica dentro de una aplicación, y puede contener otros elementos como botones o cuadros de texto.","View","Activity","Service","Broadcast Receiver","El 'View' es el componente básico en la interfaz gráfica de Android y es utilizado para representar elementos visuales como botones, textos, imágenes, entre otros."
"Es el componente que maneja la lógica de interacción en la interfaz gráfica de Android, y permite la creación de una ventana o pantalla dentro de la aplicación.","Activity","Service","Broadcast Receiver","Intent","Una 'Activity' es el componente principal en Android para manejar la interacción con el usuario a través de pantallas o ventanas dentro de la aplicación."
"Es un tipo de componente de Android que no tiene interfaz gráfica, y se utiliza para ejecutar procesos en segundo plano o tareas que no requieren interacción directa con el usuario.","Service","Activity","Content Provider","Broadcast Receiver","El 'Service' es un componente en Android que realiza tareas en segundo plano, como enviar notificaciones o actualizar datos, sin necesidad de interactuar con la interfaz gráfica del usuario."
"Es un método utilizado para que un componente en Android responda a un evento de usuario, como un clic sobre un botón.","onClick()","onCreate()","onTouch()","onLongClick()","El método 'onClick()' es utilizado para manejar los eventos de clic sobre un componente de la interfaz, como un botón o una vista interactiva."
"Es un tipo de menú en Android que se activa cuando el usuario hace clic en la tecla de menú del dispositivo, mostrando un conjunto de opciones disponibles para la aplicación.","OptionsMenu","ContextMenu","PopupMenu","NavigationMenu","El 'OptionsMenu' en Android es un menú accesible mediante la tecla de menú del dispositivo, mostrando opciones que están disponibles a nivel global dentro de la aplicación."
"Es un tipo de menú en Android que se presenta cuando el usuario mantiene presionado un elemento de la interfaz, similar al clic derecho en una computadora.","ContextMenu","OptionsMenu","PopupMenu","NavigationMenu","El 'ContextMenu' aparece cuando el usuario mantiene presionado un elemento de la interfaz gráfica, mostrando opciones relacionadas con ese elemento específico."
"Es un tipo de menú contextual en Android que se crea a través de un archivo XML, y puede mostrar opciones relacionadas con el contexto del elemento seleccionado.","ContextMenu","OptionsMenu","PopupMenu","NavigationMenu","El 'ContextMenu' en Android se crea mediante XML y se utiliza para mostrar opciones relacionadas específicamente con un elemento seleccionado por el usuario."
"Es el componente de Android que permite el paso de información entre componentes a través de mensajes, como abrir una actividad o enviar datos a un servicio.","Intent","Service","Activity","Broadcast Receiver","El 'Intent' es el mecanismo de comunicación en Android, permitiendo enviar mensajes y datos entre los diferentes componentes de la aplicación, como actividades o servicios."
"Es el componente que recibe y maneja eventos globales en Android, como cambios en el estado del sistema o eventos emitidos por otras aplicaciones.","Broadcast Receiver","Service","Activity","Content Provider","El 'Broadcast Receiver' es el componente encargado de recibir y manejar mensajes o eventos globales, como cambios de configuración o acciones del sistema operativo."
"Es un mecanismo de comunicación en Android utilizado para activar actividades, servicios y otros componentes, permitiendo que una aplicación realice acciones dentro o fuera de su propio contexto.","Intent","Service","Activity","Broadcast Receiver","El 'Intent' es un mensaje utilizado para comunicar y activar componentes en Android, facilitando la interacción entre diferentes actividades y servicios dentro o fuera de la aplicación."
"Es un recurso XML que se utiliza para definir las opciones de menú dentro de una aplicación en Android.","Menu XML","Activity XML","Layout XML","String XML","El archivo XML de menú en Android se utiliza para definir las opciones de menú que estarán disponibles para el usuario dentro de la aplicación."
"Es un método utilizado en Android para crear un menú de opciones desde un archivo XML, inflando el menú para que se pueda mostrar al usuario.","Inflater","Intent","Activity","Service","El 'Inflater' es utilizado para crear dinámicamente el menú desde un archivo XML, permitiendo mostrarlo a los usuarios en la interfaz."
"Es un proceso en Android que permite organizar y gestionar la ejecución de acciones que requieren interacción con el usuario, tales como presionar botones o realizar gestos sobre la interfaz.","Event Handling","Menu Handling","Activity Handling","Intent Handling","El manejo de eventos ('Event Handling') es crucial en Android para gestionar la interacción del usuario con la interfaz gráfica, incluyendo eventos de clic, toque o deslizamientos."
"Es un recurso que se utiliza en Android para manejar eventos contextuales, como la creación de un menú al hacer clic derecho o mantener presionado un elemento.","Contextual Event Handling","Menu Handling","Activity Handling","Intent Handling","El 'Contextual Event Handling' en Android se refiere a la creación y manejo de menús contextuales que se presentan al mantener presionado un elemento de la interfaz."
